DMA,Sector,Household,Non-household
301,WF10 2,92,14
302,HD8 9,700,41
303,YO12 6,1347,13
304,S74 8,1278,42
305,WF2 9,831,24
306,YO14 9,94,23
307,S6 2,768,13
307,S6 3,39,23
309,DN4 8,993,35
310,YO18 7,950,121
311,LS26 0,1854,28
314,HU8 7,367,54
314,HU9 1,422,29
314,HU9 2,157,59
314,HU9 3,126,71
317,S6 6,483,7
318,WF9 2,1655,60
319,S36 6,143,22
319,S36 8,479,25
320,WF9 1,281,7
322,YO15 1,1284,128
323,LS24 9,617,51
323,LS25 6,37,14
324,S2 3,1382,18
325,YO18 8,112,13
326,LS14 6,1146,19
327,S5 8,1803,29
328,S66 7,403,19
329,BD18 3,408,55
329,BD18 4,1046,18
330,HU16 5,1691,16
331,S26 2,780,9
332,HU5 5,1224,28
333,HG3 4,217,28
333,HG3 5,102,11
334,LS7 2,671,12
335,DN2 5,433,15
335,DN2 6,1241,21
336,S10 5,548,11
337,DN14 0,391,18
338,HD8 9,850,21
339,YO62 4,23,8
339,YO62 5,113,15
340,HG1 2,263,19
340,HG1 4,99,22
340,HG1 5,588,82
342,YO23 1,1916,86
342,YO23 2,27,8
343,HU6 8,1415,14
343,HU6 9,818,35
344,S71 1,744,6
345,HD6 3,599,7
346,HD8 8,465,28
347,YO42 1,81,29
348,S71 1,1149,29
349,S75 1,1550,128
350,YO60 7,423,93
352,HD1 5,59,33
352,HD1 6,381,30
352,HD2 2,514,27
353,LS9 6,1131,39
353,LS9 7,20,13
355,S72 7,1229,89
356,YO25 8,960,116
357,HU7 4,1031,25
358,S75 4,91,7
358,S75 5,980,8
359,S10 2,65,44
359,S10 3,239,65
360,YO62 6,249,41
361,LS12 3,430,13
363,S5 9,1779,38
364,HD6 3,960,11
365,S6 6,830,37
366,HX4 8,475,53
367,S36 7,444,37
368,HG5 0,149,31
368,HG5 9,111,10
369,DN12 3,915,17
370,S66 7,1249,18
370,S66 8,305,8
371,WF9 4,172,6
372,BD20 7,650,106
372,BD20 8,220,6
373,S75 5,1753,53
375,S60 4,330,22
376,YO25 5,2530,38
376,YO25 6,675,80
377,LS17 5,1309,45
378,LS14 6,1526,29
379,HU7 3,2920,59
